         383171 function calls (376601 primitive calls) in 0.362 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.005    0.000 pyparsing.py:2998(__init__)
        1    0.000    0.000    0.066    0.066 __init__.py:106(<module>)
      177    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.055    0.055 __init__.py:101(<module>)
      177    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      238    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      432    0.000    0.000    0.000    0.000 colors.py:204(<genexpr>)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      130    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      365    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
     33/5    0.000    0.000    0.000    0.000 pyparsing.py:3617(streamline)
     1398    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
      112    0.000    0.000    0.001    0.000 deprecation.py:237(finalize)
      252    0.000    0.000    0.000    0.000 {built-in method numpy.can_cast}
       83    0.000    0.000    0.000    0.000 sre_parse.py:843(_parse_flags)
      499    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      410    0.000    0.000    0.000    0.000 artist.py:1235(aliased_name)
    46/43    0.000    0.000    0.085    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.022    0.022 rcsetup.py:15(<module>)
      173    0.000    0.000    0.000    0.000 rcsetup.py:59(__call__)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
    58/10    0.000    0.000    0.003    0.000 pyparsing.py:3586(leaveWhitespace)
      263    0.000    0.000    0.000    0.000 pyparsing.py:474(__new__)
      667    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
   121/59    0.000    0.000    0.002    0.000 pyparsing.py:3663(<listcomp>)
      237    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      283    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.004    0.004 _axes.py:119(Axes)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      365    0.000    0.000    0.000    0.000 a_star_planner.py:39(pop)
        1    0.000    0.000    0.019    0.019 core.py:182(read_style_directory)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
        1    0.000    0.000    0.000    0.000 dviread.py:173(Dvi)
